fitur,gini
P3_dampak,0.12047501235078935
RW2_pengaruh,0.11621613105999704
S3_sekitar,0.1073619041817316
RW3_menarik,0.09996600129359064
P2_cara,0.09514222068788757
S2_penting,0.07178753576598851
S1_tanggungjawab,0.07029337410115254
P1_organik,0.06898505056397033
RW1_tertarik,0.05727656817047906
RW4_sebanding,0.050916694104860286
H4_dukungan,0.044463072937455446
H3_fasilitas,0.041319093655423196
H2_waktu,0.03192407564577933
H1_repot,0.02387326548089499
