id,label,label_num,prediksi_num,peluang_sudah
R01,belum_memilah,0,0,0.013
R02,belum_memilah,0,0,0.023
R03,belum_memilah,0,0,0.183
R04,belum_memilah,0,0,0.033
R05,belum_memilah,0,0,0.003
R06,belum_memilah,0,0,0.39
R07,belum_memilah,0,0,0.037
R08,sudah_memilah,1,0,0.047
R09,belum_memilah,0,0,0.15
R10,belum_memilah,0,0,0.073
R11,belum_memilah,0,0,0.12
R12,belum_memilah,0,0,0.003
R13,belum_memilah,0,0,0.357
R14,belum_memilah,0,0,0.13
R15,belum_memilah,0,0,0.063
R16,belum_memilah,0,0,0.003
R17,belum_memilah,0,0,0.013
R18,belum_memilah,0,0,0.0
R19,belum_memilah,0,0,0.153
R20,belum_memilah,0,0,0.007
R21,sudah_memilah,1,0,0.053
R22,belum_memilah,0,0,0.04
R23,belum_memilah,0,0,0.073
R24,sudah_memilah,1,0,0.247
R25,belum_memilah,0,1,0.533
R26,belum_memilah,0,0,0.203
R27,belum_memilah,0,0,0.03
R28,belum_memilah,0,0,0.013
R29,belum_memilah,0,0,0.403
R30,belum_memilah,0,0,0.01
R31,belum_memilah,0,0,0.07
R32,belum_memilah,0,0,0.033
R33,belum_memilah,0,0,0.023
R34,belum_memilah,0,0,0.0
R35,belum_memilah,0,0,0.0
R36,belum_memilah,0,0,0.0
R37,belum_memilah,0,0,0.007
R38,belum_memilah,0,0,0.0
R39,belum_memilah,0,0,0.0
R40,belum_memilah,0,0,0.0
R41,sudah_memilah,1,0,0.467
R42,belum_memilah,0,0,0.0
